"IDADE","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","Q001","Q002","Q003","Q004","Q005","Q006","Q007","Q008","Q009","Q010","Q011","Q012","Q013","Q014","Q015","Q016","Q017","Q018","Q019","Q020","Q021","Q022","Q023","Q024","Q025","Q026","Q027","Q028","Q029","Q030","Q031","Q032","Q033","Q034","Q035","Q036","Q037","Q038","Q039","Q040","Q041","Q042","Q043","Q044","Q045","Q046","Q047","Q048","Q049","Q050","Q051","Q052","Q053","Q054","Q055","Q056","Q057","Q058","Q059","Q060","Q061","Q062","Q063","Q064","Q065","Q066","Q067","Q068","Q069","Q070","Q071","Q072","Q073","Q074","Q075","Q076","media"
">=20.00","M","0","3","B","E","<=724","[1;5]","A","B","A","D","D","A","D","D","A","D","D","C","D","D","D","D","A","C","5","3","","5","4","5","1","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","G","(724; 2893]","[1;5]","A","B","B","D","A","A","D","D","A","D","A","C","A","D","D","D","A","C","4","4","","5","4","4","4","B","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","D","E","(724; 2893]","[1;5]","A","B","A","A","A","A","D","A","A","D","A","C","A","D","D","D","A","C","3","5","","5","4","4","5","B","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","C","B","(724; 2893]","[6;10]","A","B","B","B","A","C","B","A","A","A","D","C","B","A","A","D","A","C","3","5","","5","5","5","5","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","1","3","C","B","(724; 2893]","[1;5]","C","A","A","A","D","A","A","D","A","D","D","B","D","D","D","D","A","A","5","2","","5","2","5","3","D","A","A","A","D","A","A","B","B","A","<=17","E","0","5","5","5","1","A","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","G","G","(724; 2893]","[1;5]","A","B","A","A","D","C","A","A","A","A","A","C","A","D","A","D","B","B","5","1","","5","0","0","0","B","A","C","F","A","A","B","B","B","B","<=17","C","5","0","5","5","5","A","A","B","B","B","B","B","B","","","","","","","","","","A","B","B","B","B","B","B","B","B","B","B","B","G","p"
">=20.00","F","0","3","I","E","<=724","[1;5]","A","A","A","A","A","A","A","A","A","A","D","B","A","D","D","D","A","B","3","5","","5","0","5","0","D","A","A","F","A","A","A","A","A","A","<=17","A","1","0","5","3","4","A","A","B","B","B","B","A","B","","","","","","","","","","B","","","","","","","","","","","","","n"
"<20.00","M","0","2","C","B","(724; 2893]","[6;10]","A","B","A","A","A","A","A","D","A","D","A","C","A","A","A","D","A","A","5","5","","5","5","5","5","A","A","A","B","A","A","A","A","B","A","<=17","D","5","3","5","5","5","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","C","C","(724; 2893]","[1;5]","D","B","B","A","A","A","A","D","A","A","A","A","A","A","A","D","A","A","1","4","","5","2","5","5","A","A","A","A","A","A","A","B","B","A","<=17","E","4","4","2","4","5","B","B","B","B","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","B","<=724","[1;5]","A","B","A","A","A","D","A","A","A","D","D","A","D","D","D","D","A","C","5","3","","5","5","5","4","C","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","E","H","(2893; 5792]","[1;5]","A","A","A","A","D","A","A","A","A","D","A","A","A","A","D","D","A","C","5","5","","5","1","5","5","B","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","B","G","(2893; 5792]","[6;10]","A","B","B","D","D","D","A","A","A","D","A","C","A","D","D","A","A","A","1","2","","5","2","5","5","B","A","C","B","A","C","A","B","B","A",">17","C","2","0","5","5","5","A","B","A","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","M","1","3","B","B","(724; 2893]","[6;10]","D","B","A","D","A","D","D","D","A","D","D","A","A","D","D","D","A","A","5","5","","5","5","5","5","C","A","A","B","A","A","A","A","B","A","<=17","E","5","5","5","5","5","B","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","E","E","(724; 2893]","[1;5]","A","B","A","A","A","A","D","A","A","D","A","A","A","D","D","D","A","C","1","5","","5","3","3","2","B","","","B","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","M","0","1","I","B","<=724","[1;5]","A","A","A","A","D","D","A","A","A","D","D","C","D","D","D","D","A","A","5","4","","5","5","5","5","B","A","A","B","A","A","A","A","B","A","<=17","D","5","4","5","5","5","A","B","A","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","E","E","<=724","[1;5]","A","B","A","D","D","D","D","D","A","D","A","D","D","D","D","D","A","B","5","4","","4","5","5","5","B","A","A","B","A","A","A","A","B","A",">17","D","4","4","5","5","4","B","A","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","3","I","E","(724; 2893]","[1;5]","A","B","A","A","D","D","D","D","A","D","A","A","A","D","D","D","A","B","1","1","","1","1","1","1","F","B","A","F","E","A","A","A","B","B","<=17","E","0","5","5","5","5","B","B","B","B","B","B","B","A","A","B","B","A","B","B","B","B","B","A","B","B","A","B","B","B","B","B","B","B","B","C","n"
"<20.00","F","1","3","A","A","<=724","[1;5]","A","B","A","D","D","D","A","D","A","D","D","A","D","D","D","D","A","A","5","5","","5","1","5","5","A","A","A","B","A","A","A","A","A","A","<=17","B","5","5","5","5","5","A","A","B","A","A","A","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","B","B","<=724","[1;5]","B","B","A","A","A","A","D","A","A","D","A","A","A","D","A","D","A","B","4","5","","4","5","5","5","A","A","B","F","E","A","A","A","B","A",">17","B","0","0","5","4","5","B","B","B","B","B","B","B","B","","","","","","","","","","B","","","","","","","","","","","","","n"
"<20.00","M","0","2","E","B","(724; 2893]","[1;5]","B","A","B","B","A","D","D","A","A","D","D","B","D","D","D","D","A","B","3","2","","2","2","2","2","C","A","A","F","C","A","A","B","B","B","<=17","E","5","5","3","5","0","B","B","B","B","B","B","B","B","","","","","","","","","","A","B","B","B","B","B","A","B","B","B","B","B","D","n"
">=20.00","M","0","3","B","G","(2893; 5792]","[6;10]","A","B","A","D","A","A","D","A","A","D","D","C","A","D","D","D","B","C","5","5","","5","5","5","5","B","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
